feature,importance_%
numeric__channel_O2_cf_0,9.971468595
numeric__channel_PO8_cf_0,8.37265882
numeric__channel_P6_cf_0,6.548290005
numeric__channel_P7_cf_0,5.818461014
numeric__channel_CP4_cf_0,4.905758662
numeric__channel_PO7_cf_0,4.89992433
numeric__channel_F4_cf_0,4.519709705
numeric__channel_P8_cf_0,3.859991178
numeric__channel_P5_cf_0,3.466107395
numeric__channel_AF3_cf_0,3.345088635
numeric__channel_FCz_cf_0,3.033871513
numeric__channel_TP8_cf_0,2.726561092
numeric__channel_FC4_cf_0,2.636017226
numeric__channel_F1_cf_0,2.371739374
numeric__channel_AF4_cf_0,2.015831053
numeric__channel_FC1_cf_0,1.994315221
numeric__channel_Oz_cf_0,1.666001763
numeric__channel_FC2_cf_0,1.645407177
numeric__channel_F2_cf_0,1.480359607
numeric__channel_AFz_cf_0,1.418495428
numeric__channel_CP5_cf_0,1.39485403
numeric__channel_FT7_pw_0,1.245084647
numeric__channel_P1_cf_0,1.172089698
numeric__channel_P2_cf_1,1.0788994
numeric__channel_P4_cf_0,1.05339648
numeric__channel_P3_bw_1,0.975059643
numeric__channel_CP4_cf_2,0.889434162
numeric__channel_TP10_cf_0,0.784946501
numeric__channel_TP7_pw_1,0.763423267
numeric__channel_CP3_pw_0,0.700507253
numeric__channel_TP7_pw_2,0.675544676
numeric__channel_O1_pw_1,0.655243881
numeric__channel_C6_cf_1,0.637356122
numeric__channel_Fp1_bw_0,0.602461209
numeric__channel_P7_pw_0,0.505626187
numeric__channel_CP5_pw_1,0.505310096
numeric__channel_FC4_pw_0,0.44693914
numeric__channel_TP9_pw_0,0.43506464
numeric__channel_C1_pw_2,0.42974162
numeric__channel_Fz_cf_0,0.426770205
numeric__channel_C1_cf_0,0.410194855
numeric__channel_PO7_bw_1,0.385544562
numeric__channel_C4_pw_0,0.377199711
numeric__channel_F5_cf_0,0.376632814
numeric__channel_CP3_bw_0,0.374776585
numeric__channel_F2_pw_1,0.372366375
numeric__channel_P5_cf_3,0.35396975
numeric__channel_Cz_cf_1,0.32097785
numeric__channel_P4_bw_1,0.310944177
numeric__channel_Fp1_pw_1,0.307941375
numeric__channel_FC1_bw_2,0.301965419
numeric__channel_P4_bw_0,0.300611055
numeric__channel_TP10_bw_1,0.288509512
numeric__channel_POz_pw_1,0.282147505
numeric__channel_P6_pw_0,0.267966542
numeric__channel_Fp2_pw_1,0.263994952
numeric__channel_P3_cf_1,0.261572701
numeric__channel_F8_pw_2,0.249040488
numeric__channel_F2_bw_1,0.243060811
numeric__channel_P7_cf_1,0.234473923
numeric__channel_F2_cf_1,0.23306444
numeric__channel_FC2_pw_0,0.232876456
numeric__channel_CP1_cf_2,0.218042771
numeric__channel_Fp2_cf_0,0.215642114
numeric__channel_FCz_cf_1,0.188276377
numeric__channel_Fz_bw_2,0.111227238
numeric__channel_T8_cf_1,0.095113
numeric__channel_P5_pw_2,0.055660238
numeric__channel_CP4_cf_1,0.044675267
numeric__channel_O2_bw_1,0.042925896
numeric__channel_C6_bw_0,0.040924288
numeric__channel_P6_pw_2,0.03497532
numeric__channel_CPz_pw_0,0.033596746
numeric__channel_C6_bw_2,0.028010048
numeric__channel_CPz_bw_1,0.020336585
numeric__channel_F1_cf_1,0.018687136
numeric__channel_FCz_cf_2,0.014920996
numeric__channel_FC5_bw_0,0.013343472
numeric__channel_P1_pw_4,0
numeric__channel_POz_cf_4,0
numeric__channel_P1_cf_3,0
numeric__channel_P1_bw_3,0
numeric__channel_P1_cf_4,0
numeric__channel_POz_pw_4,0
numeric__channel_P1_pw_3,0
numeric__channel_P1_pw_5,0
numeric__channel_P1_bw_4,0
numeric__channel_P1_cf_5,0
numeric__channel_P1_pw_2,0
numeric__channel_P1_bw_5,0
numeric__channel_POz_bw_3,0
numeric__channel_P5_pw_0,0
numeric__channel_P5_bw_0,0
numeric__channel_P5_cf_1,0
numeric__channel_P5_pw_1,0
numeric__channel_P5_bw_1,0
numeric__channel_POz_pw_3,0
numeric__channel_P1_bw_2,0
numeric__channel_POz_cf_5,0
numeric__channel_P1_cf_2,0
numeric__channel_POz_bw_4,0
numeric__channel_CP3_pw_3,0
numeric__channel_PO4_cf_2,0
numeric__channel_CP3_bw_3,0
numeric__channel_CP3_cf_4,0
numeric__channel_PO4_bw_1,0
numeric__channel_PO4_pw_1,0
numeric__channel_PO4_cf_1,0
numeric__channel_CP3_pw_4,0
numeric__channel_CP3_bw_4,0
numeric__channel_PO4_bw_0,0
numeric__channel_PO4_pw_0,0
numeric__channel_CP3_cf_5,0
numeric__channel_CP3_pw_5,0
numeric__channel_CP3_bw_5,0
numeric__channel_PO4_cf_0,0
numeric__channel_P1_pw_0,0
numeric__channel_P1_bw_0,0
numeric__channel_POz_bw_5,0
numeric__channel_P1_cf_1,0
numeric__channel_P1_pw_1,0
numeric__channel_POz_pw_5,0
numeric__channel_P1_bw_1,0
numeric__channel_POz_bw_2,0
numeric__channel_POz_cf_3,0
numeric__channel_PO3_pw_2,0
numeric__channel_P5_cf_2,0
numeric__channel_PO7_pw_5,0
numeric__channel_PO7_pw_2,0
numeric__channel_PO7_bw_2,0
numeric__channel_CP3_cf_3,0
numeric__channel_PO7_pw_3,0
numeric__channel_PO7_bw_3,0
numeric__channel_PO7_cf_4,0
numeric__channel_PO7_pw_4,0
numeric__channel_PO3_cf_4,0
numeric__channel_PO7_bw_4,0
numeric__channel_PO7_cf_5,0
numeric__channel_PO7_bw_5,0
numeric__channel_PO3_pw_4,0
numeric__channel_PO3_cf_0,0
numeric__channel_PO3_pw_0,0
numeric__channel_PO3_bw_3,0
numeric__channel_PO3_pw_3,0
numeric__channel_PO3_bw_0,0
numeric__channel_PO3_cf_1,0
numeric__channel_PO3_pw_1,0
numeric__channel_PO3_cf_3,0
numeric__channel_PO3_bw_1,0
numeric__channel_PO3_cf_2,0
numeric__channel_PO7_cf_2,0
numeric__channel_PO7_pw_1,0
numeric__channel_POz_pw_2,0
numeric__channel_P5_bw_4,0
numeric__channel_PO3_bw_2,0
numeric__channel_P5_bw_2,0
numeric__channel_POz_cf_2,0
numeric__channel_P5_pw_3,0
numeric__channel_POz_bw_1,0
numeric__channel_POz_cf_1,0
numeric__channel_POz_bw_0,0
numeric__channel_P5_bw_3,0
numeric__channel_P5_cf_4,0
numeric__channel_P5_pw_4,0
numeric__channel_POz_pw_0,0
numeric__channel_PO7_cf_1,0
numeric__channel_POz_cf_0,0
numeric__channel_PO3_bw_5,0
numeric__channel_P5_cf_5,0
numeric__channel_PO3_pw_5,0
numeric__channel_P5_pw_5,0
numeric__channel_PO3_cf_5,0
numeric__channel_P5_bw_5,0
numeric__channel_PO3_bw_4,0
numeric__channel_PO7_pw_0,0
numeric__channel_PO7_bw_0,0
numeric__channel_PO7_cf_3,0
numeric__channel_TP7_bw_3,0
numeric__channel_CP3_bw_2,0
numeric__channel_F5_cf_4,0
numeric__channel_FT7_cf_0,0
